dataset,variable,label,type,length
cm,STUDYID,Study Identifier,Char,12
cm,DOMAIN,Domain Abbreviation,Char,2
cm,USUBJID,Unique Subject Identifier,Char,8
cm,CMSEQ,Sequence Number,Num,8
cm,CMTRT,"Reported Name of Drug, Med, or Therapy",Char,200
cm,CMINDC,Indication,Char,200
cm,CMDOSE,Dose per Administration,Num,8
cm,CMDOSU,Dose Units,Char,6
cm,CMDOSFRQ,Dosing Frequency per Interval,Char,3
cm,CMROUTE,Route of Administration,Char,24
cm,EPOCH,Epoch,Char,9
cm,CMSTDTC,Start Date/Time of Medication,Char,10
cm,CMENDTC,End Date/Time of Medication,Char,10
cm,CMSTDY,Study Day of Start of Medication,Num,8
cm,CMENDY,Study Day of End of Medication,Num,8
cm,CMENRTPT,End Relative to Reference Time Point,Char,7
cm,CMENTPT,End Reference Time Point,Char,10
mh,STUDYID,Study Identifier,Char,12
mh,DOMAIN,Domain Abbreviation,Char,2
mh,USUBJID,Unique Subject Identifier,Char,8
mh,MHSEQ,Sequence Number,Num,8
mh,MHTERM,Reported Term for the Medical History,Char,19
mh,MHEVDTYP,Medical History Event Date Type,Char,13
mh,MHSTDTC,Start Date/Time of Medical History Event,Char,10
mh,MHSTDY,Study Day of Start of Observation,Num,8
mh,MHENDTC,End Date/Time of Medical History Event,Char,50
mh,MHENDY,Study Day of End of Observation,Num,8
mh,MHENRTPT,End Relative to Reference Time Point,Char,50
mh,MHENTPT,End Reference Time Point,Char,50
