STUDYID,DOMAIN,SPTOBID,TOSEQ,TOPARMCD,TOPARM,TOCAT,TOSCAT,TOVAL,TOVALU
TOB07,TO,CIG01a,1,TBPRDCAT,Tobacco Product Category,NEW PRODUCT,PRODUCT IDENTIFIER,Cigarettes,
TOB07,TO,CIG01a,2,TBPRSCAT,Tobacco Product Subcategory,NEW PRODUCT,PRODUCT IDENTIFIER,Filtered,
TOB07,TO,CIG01a,3,MANUF,Manufacturer,NEW PRODUCT,PRODUCT IDENTIFIER,Joes Cigs USA,
TOB07,TO,CIG01a,4,MANUF,Manufacturer,NEW PRODUCT,PRODUCT IDENTIFIER,Joes Cigs USA,
TOB07,TO,CIG01a,5,TRADENAM,Trade Name,NEW PRODUCT,PRODUCT IDENTIFIER,Treetop Menthol King Size,
TOB07,TO,VAPE-Z27,1,TBPRDCAT,Tobacco Product Category,NEW PRODUCT,PRODUCT IDENTIFIER,Electronic Nicotine Delivery Systems (ENDS) (Vapes),
TOB07,TO,VAPE-Z27,2,TBPRDCAT,Tobacco Product Category,NEW PRODUCT,PRODUCT IDENTIFIER,Closed E-Cigarette,
TOB07,TO,VAPE-Z27,3,MANUF,Manufacturer,NEW PRODUCT,PRODUCT IDENTIFIER,Joes Vapes USA,
TOB07,TO,VAPE-Z01,4,TRADENAM,Trade Name,NEW PRODUCT,PRODUCT IDENTIFIER,Everyday Rich Tobacco,
TOB07,TO,VAPE-Z01,5,TBPRDCAT,Tobacco Product Category,NEW PRODUCT,PRODUCT IDENTIFIER,ENDS (Vapes),
TOB07,TO,VAPE-Z01,6,PRDQUAN,Product Quantity,NEW PRODUCT,PRODUCT DESCRIPTOR,E-CIGARET,
